Character Name	Character	Entity	Hex Entity	Dec	Hex	Bin
BRAILLE PATTERN DOTS-123568	⢷	&#10423;	&#x28B7	237	ED	11101101
BRAILLE PATTERN DOTS-12357	⡗	&#10327;	&#x2857	234	EA	11101010
BRAILLE PATTERN DOTS-123578	⣗	&#10455;	&#x28D7	235	EB	11101011
BRAILLE PATTERN DOTS-12358	⢗	&#10391;	&#x2897	233	E9	11101001
BRAILLE PATTERN DOTS-1236	⠧	&#10279;	&#x2827	228	E4	11100100
BRAILLE PATTERN DOTS-12367	⡧	&#10343;	&#x2867	230	E6	11100110
BRAILLE PATTERN DOTS-123678	⣧	&#10471;	&#x28E7	231	E7	11100111
BRAILLE PATTERN DOTS-12368	⢧	&#10407;	&#x28A7	229	E5	11100101
BRAILLE PATTERN DOTS-1237	⡇	&#10311;	&#x2847	226	E2	11100010
BRAILLE PATTERN DOTS-12378	⣇	&#10439;	&#x28C7	227	E3	11100011
BRAILLE PATTERN DOTS-1238	⢇	&#10375;	&#x2887	225	E1	11100001
BRAILLE PATTERN DOTS-124	⠋	&#10251;	&#x280B	208	D0	11010000
BRAILLE PATTERN DOTS-1245	⠛	&#10267;	&#x281B	216	D8	11011000
BRAILLE PATTERN DOTS-12456	⠻	&#10299;	&#x283B	220	DC	11011100
BRAILLE PATTERN DOTS-124567	⡻	&#10363;	&#x287B	222	DE	11011110
BRAILLE PATTERN DOTS-1245678	⣻	&#10491;	&#x28FB	223	DF	11011111
BRAILLE PATTERN DOTS-124568	⢻	&#10427;	&#x28BB	221	DD	11011101
BRAILLE PATTERN DOTS-12457	⡛	&#10331;	&#x285B	218	DA	11011010
BRAILLE PATTERN DOTS-124578	⣛	&#10459;	&#x28DB	219	DB	11011011
BRAILLE PATTERN DOTS-12458	⢛	&#10395;	&#x289B	217	D9	11011001
BRAILLE PATTERN DOTS-1246	⠫	&#10283;	&#x282B	212	D4	11010100
BRAILLE PATTERN DOTS-12467	⡫	&#10347;	&#x286B	214	D6	11010110
BRAILLE PATTERN DOTS-124678	⣫	&#10475;	&#x28EB	215	D7	11010111
BRAILLE PATTERN DOTS-12468	⢫	&#10411;	&#x28AB	213	D5	11010101
BRAILLE PATTERN DOTS-1247	⡋	&#10315;	&#x284B	210	D2	11010010
BRAILLE PATTERN DOTS-12478	⣋	&#10443;	&#x28CB	211	D3	11010011
BRAILLE PATTERN DOTS-1248	⢋	&#10379;	&#x288B	209	D1	11010001
BRAILLE PATTERN DOTS-125	⠓	&#10259;	&#x2813	200	C8	11001000
BRAILLE PATTERN DOTS-1256	⠳	&#10291;	&#x2833	204	CC	11001100
BRAILLE PATTERN DOTS-12567	⡳	&#10355;	&#x2873	206	CE	11001110
BRAILLE PATTERN DOTS-125678	⣳	&#10483;	&#x28F3	207	CF	11001111
BRAILLE PATTERN DOTS-12568	⢳	&#10419;	&#x28B3	205	CD	11001101
BRAILLE PATTERN DOTS-1257	⡓	&#10323;	&#x2853	202	CA	11001010
BRAILLE PATTERN DOTS-12578	⣓	&#10451;	&#x28D3	203	CB	11001011
BRAILLE PATTERN DOTS-1258	⢓	&#10387;	&#x2893	201	C9	11001001
BRAILLE PATTERN DOTS-126	⠣	&#10275;	&#x2823	196	C4	11000100
BRAILLE PATTERN DOTS-1267	⡣	&#10339;	&#x2863	198	C6	11000110
BRAILLE PATTERN DOTS-12678	⣣	&#10467;	&#x28E3	199	C7	11000111
BRAILLE PATTERN DOTS-1268	⢣	&#10403;	&#x28A3	197	C5	11000101
BRAILLE PATTERN DOTS-127	⡃	&#10307;	&#x2843	194	C2	11000010
BRAILLE PATTERN DOTS-1278	⣃	&#10435;	&#x28C3	195	C3	11000011
BRAILLE PATTERN DOTS-128	⢃	&#10371;	&#x2883	193	C1	11000001
BRAILLE PATTERN DOTS-13	⠅	&#10245;	&#x2805	160	A0	10100000
BRAILLE PATTERN DOTS-134	⠍	&#10253;	&#x280D	176	B0	10110000
BRAILLE PATTERN DOTS-1345	⠝	&#10269;	&#x281D	184	B8	10111000
BRAILLE PATTERN DOTS-13456	⠽	&#10301;	&#x283D	188	BC	10111100
BRAILLE PATTERN DOTS-134567	⡽	&#10365;	&#x287D	190	BE	10111110
BRAILLE PATTERN DOTS-1345678	⣽	&#10493;	&#x28FD	191	BF	10111111
BRAILLE PATTERN DOTS-134568	⢽	&#10429;	&#x28BD	189	BD	10111101
BRAILLE PATTERN DOTS-13457	⡝	&#10333;	&#x285D	186	BA	10111010
BRAILLE PATTERN DOTS-134578	⣝	&#10461;	&#x28DD	187	BB	10111011
BRAILLE PATTERN DOTS-13458	⢝	&#10397;	&#x289D	185	B9	10111001
BRAILLE PATTERN DOTS-1346	⠭	&#10285;	&#x282D	180	B4	10110100
BRAILLE PATTERN DOTS-13467	⡭	&#10349;	&#x286D	182	B6	10110110
